[Saturday/June 08/06/2024 19:40:24] /home/mha/Videos/Udemy - React - The Complete Guide 2023 (incl. React Router & Redux) 2023-11/02 - JavaScript Refresher/001 Module Introduction.mp4 | length=109.952 | time=1.9716666666667
[Tuesday/June 11/06/2024 13:38:15] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/amarok_clock.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:16] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/amarok_lyrics.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:17] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/amarok_playcount.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:18] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/amarok_playlist.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:19] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/amarok_playlist_refresh.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:20] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/amarok_scripts.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:21] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/anchor.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:22] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/animation-stage.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:23] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/answer-correct.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:24] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/answer.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:25] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/application-exit.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:26] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/application-menu.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:27] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/appointment-new.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:28] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/approved.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:29] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/archive-extract.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:30] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/archive-insert-directory.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:31] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/archive-insert.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:33] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/archive-remove.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:34] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/arrow-down-double.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:35] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/arrow-down.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:36] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/arrow-left-double.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:37] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/arrow-left.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:38] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/arrow-right-double.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:39] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/arrow-right.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:40] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/arrow-up-double.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:41] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/arrow-up.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:42] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/arrow.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:43] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/artifact.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:44] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/artistictext-tool.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:45] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/association.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:46] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/atmosphere.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:47] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/auto-scale-all.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:48] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/auto-scale-x.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:49] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/auto-scale-y.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:50] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/autocorrection.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:51] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/automated-tasks.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:52] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/beamerblock.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:53] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/beamerframe.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:54] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bibtex.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:55] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bigskip.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:56] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bitmap-trace.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:57] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/black_sum.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:58] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bookmark-add-folder.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:59] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bookmark-edit.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:00] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bookmark-new-list.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:01] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bookmark-new.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:02] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bookmark-remove.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:03] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bookmark-toolbar.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:05] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bookmarks-organize.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:06] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bookmarks.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:07] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/borderpainter.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:08] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bordertool.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:09] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/box.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:10] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bqm-add.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:11] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bqm-addqueue.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:12] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bqm-commit.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:13] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bqm-diff.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:14] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bqm-remove.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:15] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bqm-rmqueue.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:16] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/bqm-update.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:17] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/branch.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:18] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/call-start.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:19] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/call-stop.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:20] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/callout-shape.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:21] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/cards-block.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:22] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/category.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:23] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/category2parent.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:24] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/cell_edit.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:25] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/cell_layout.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:26] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/character-set.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:27] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/check_constraint.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:28] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/checkbox.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:29] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/checkmark.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:30] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/child2category.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:31] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/choice-rhomb.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:32] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/choice-round.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:33] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/chronometer-lap.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:34] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/chronometer-pause.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:35] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/chronometer-reset.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:36] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/chronometer-start.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:37] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/chronometer.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:38] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/circular-arrow-shape.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:40] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/class-or-package.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:41] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/class.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:42] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/clock-large.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:43] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/clock.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:44] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/cloud-download.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:45] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/cloud-upload.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:46] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/code-block.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:47] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/code-class.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:48] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/code-context.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:49] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/code-function.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:50] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/code-typedef.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:51] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/code-variable.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:52] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/collapse-all.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:53] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/collection-rescan-amarok.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:54] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/color-fill.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:55] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/color-gradient.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:56] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/color-management.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:57] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/color-picker-black.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:58] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/color-picker-grey.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:39:59] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/color-picker-white.svg | length=0 | time=0
